IsoCode,Economy,basket_combined_simplified,basket_current,Unit,ITURegion,LDC,LLDC,SIDS,Income_2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MYS,Malaysia,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Asia & Pacific,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,30.2,29.75,29.56,30.92,49.84,18.05,18.05,20.81,21.31
MYS,Malaysia,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Asia & Pacific,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,15.23,14.67,12.21,12.27,19.23,7.43,7.43,8.21,8.48
MYS,Malaysia,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Asia & Pacific,NA,NA,NA,Upper middle income,1.59,1.32,1.29,1.19,0.89,0.79,0.7,0.6,0.7,0.7,0.71,0.71,0.63,1.06
MYS,Malaysia,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Asia & Pacific,NA,NA,NA,Upper middle income,21.16,18.51,17.83,17.85,14.29,14.2,12.6,12.6,14.7,14.59,15.05,15.05,14.27,23.14
MYS,Malaysia,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Asia & Pacific,NA,NA,NA,Upper middle income,9.95,8.32,7.16,8.77,8.78,7.16,6.2,5.2,5.8,5.63,6.2,6.2,5.63,9.2
MYS,Malaysia,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Asia & Pacific,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17,1.25,0.99,1.06
MYS,Malaysia,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Asia & Pacific,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.67,26.48,22.6,23.14
MYS,Malaysia,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,Asia & Pacific,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.16,10.9,8.91,9.2
MYS,Malaysia,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Asia & Pacific,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,1.54,1.19,1.27
MYS,Malaysia,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Asia & Pacific,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.76,32.5,27.06,27.71
MYS,Malaysia,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Asia & Pacific,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.31,13.38,10.67,11.02
NAM,Namibia,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Africa,NA,NA,NA,Upper middle income,12.07,13.7,32.73,28.54,13.02,10.8,9.8,5.83,7.84,9.78,8.62,8.62,8.6,8.78
