year,world_ave
1995,86.80526479
1996,61.95132955
1998,51.46627045
1999,90.38306046
2000,83.1330434
2001,81.12290074
2002,72.0310328
2003,82.29857508
2004,79.3068884
2005,84.1015992
2006,73.50720603
2007,80.39712834
2008,80.41915632
2009,82.21507542
2010,85.18873907
2011,80.99932571
2012,80.66656882
2013,82.87574164
2014,81.95163867
2015,84.39890187
2016,86.09440083
2017,82.46791105
2018,79.4453285
2019,88.12474472
2020,88.11075952
2021,88.11076
