year,world_ave
1995,56.64120762
1996,56.81744166
1998,56.81744166
1999,56.82143918
2000,56.88334938
2001,57.0708151
2002,57.18585595
2003,57.31683427
2004,57.45142143
2005,57.6644874
2006,57.79821652
2007,58.48332229
2008,59.04440181
2009,59.19591866
2010,59.82583797
2011,60.63167064
2012,61.52180456
2013,61.95937002
2014,62.09466913
2015,62.53572083
2016,62.90367598
2017,63.64709553
2018,63.93680627
2019,64.50004304
2020,65.09139968
2021,59.75360986
