Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Faroe Is.,FRO,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.24,0.83,6.58,12.3,27.47,30.24,31.11,33.22,33.84,33.58,34.12,34.87,36.2,37.03,37.31,37.33,37.49,37.35,37.74,
"Micronesia, Fed. Sts.",FSM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.04,0.09,0.11,,,0.97,,,1.95,2.88,3.01,2.88,3.39,,4.39,5.22,
Gabon,GAB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.05,0.11,0.12,0.13,0.14,0.24,0.25,0.27,0.29,0.49,0.57,0.57,0.75,0.71,0.99,1.12,2,
United Kingdom,GBR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.56,2.29,5.23,10.23,16.42,21.4,25.39,27.85,28.45,30.18,32.16,33.61,35.45,36.27,37.45,38.42,39.03,39.6,39.79,40.26,
Georgia,GEO,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.03,0.04,0.06,0.64,1.12,2.71,3.64,4.45,6.09,11.39,12.77,14.89,15.8,16.96,19.36,21.42,23.45,24.37,
Ghana,GHA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.01,0.06,0.07,0.1,0.12,0.21,0.26,0.26,0.26,0.26,0.26,0.3,0.2,0.21,0.19,0.25,
Gibraltar,GIB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,31.06,33.57,35.6,,38.55,46.17,48.62,51.51,56.29,57.85,62.36,
Guinea,GIN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
Gambia,GMB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.14,0.17,0.17,0.18,0.19,0.21,0.21,
Guinea-Bissau,GNB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.06,0.07,0.09,0.08,0.06,0.05,0.05,0.06,0.06,0.12,
Eq. Guinea,GNQ,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.13,0.14,0.14,0.33,0.35,0.33,0.28,0.15,0.12,0.07,0.07,
Greece,GRC,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.46,1.43,4.36,9.15,13.65,17.49,20.69,22.76,24.95,27.12,29.49,32.26,34.06,35.75,37.65,39.25,40.84,
Grenada,GRD,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,0.58,3.08,5.28,7.23,8.49,11.69,13.59,13.74,14.89,16.64,17.27,18.03,18.88,20.05,24.21,28.38,28.44,
Greenland,GRL,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,5.84,12.52,16.18,18.53,21.13,22.11,21.88,21.03,20.15,19.14,18.45,17.74,,21.27,23.32,25.42,27.57,
Guatemala,GTM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.29,0.42,0.67,1.09,1.77,,1.84,2.26,2.72,2.83,3.05,3.14,,3.33,3.42,
Guam,GUM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,1.7,1.7,1.88,1.88,,,1.87,1.86,,,,,1.79,1.78,
Guyana,GUY,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,0.32,0.68,0.91,1.49,2.73,3.97,4.86,5.92,7,7.42,8.37,,10.6,12.08,
High income,HIC,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,3.37,5.61,8.02,11.12,14.81,18.27,21.41,23.34,24.78,26.09,27.28,28.22,29.68,30.34,31.1,32.01,32.95,33.68,34.46,35.79,
Hong Kong,HKG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,1.33,6.73,10.75,15.5,18.86,22.5,24.51,26.41,27.76,28.12,29.65,31.12,32.81,32,31.53,31.97,32.67,36.25,36.38,36.83,37.72,38.49,
Honduras,HND,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.68,0.71,0.78,1.76,2.17,2.38,2.53,3.7,4.01,4.01,
Heavily indebted poor countries (HIPC),HPC,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.05,0.07,0.08,0.08,0.14,0.16,0.19,0.26,0.28,0.39,0.41,0.56,0.53,0.64,
Croatia,HRV,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.6,2.65,5.76,8.87,12.13,16.52,19.36,20.7,21.4,22.32,23.13,23.3,24.8,26.2,27.15,27.96,25.11,
Haiti,HTI,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.01,0.01,0.27,0.28,0.28,0.27,
Hungary,HUN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.31,1.1,2.61,4.06,6.46,11.93,14.51,17.72,19.85,21.75,23.37,24.29,26.41,26.32,27.81,28.86,30.39,31.72,32.94,33.8,
IBRD only,IBD,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.14,0.38,0.86,1.32,1.9,2.66,3.5,4.41,5.38,6.41,7.15,7.71,8.17,10.07,11.27,13.06,13.68,14.7,15.94,
IDA & IBRD total,IBT,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.36,0.8,1.09,1.61,2.12,2.77,3.51,4.18,5.21,5.63,6.01,6.41,7.8,8.74,10.17,10.92,11.32,12.28,
IDA total,IDA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.04,0.07,0.13,0.18,0.28,0.32,0.43,0.66,0.83,1.1,1.24,1.49,1.4,1.63,
IDA blend,IDB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.05,0.09,0.16,0.25,,0.42,0.46,0.65,0.8,1.18,1.27,1.38,1.43,1.6,
Indonesia,IDN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.01,0.02,0.03,0.04,0.05,0.08,0.34,0.42,0.78,0.94,1.12,1.2,1.29,1.33,1.54,2,2.35,3.32,3.8,4.29,
IDA only,IDX,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.06,0.11,0.13,0.2,0.26,0.42,0.67,0.85,1.05,1.22,1.56,1.38,1.65,
Isle of Man,IMN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.01,0.01,0.02,0.12,0.2,0.26,0.44,0.64,0.89,1.07,1.18,1.17,1.22,1.29,1.41,1.33,1.34,1.4,1.66,
Not classified,INX,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,1.05,3.75,7.79,13.28,17.54,20.18,21.72,22.4,23.32,24.13,25.77,27.21,28.15,28.97,29.43,29.68,29.95,30.71,
Iran,IRN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.02,0.03,,,0.14,0.28,0.42,0.55,1.34,2.84,5.04,6.75,7.93,8.42,9.56,10.66,11.99,10.4,11.39,
Iraq,IRQ,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.01,,,,,,,11.43,11.69,11.6,15.55,
Iceland,ISL,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.84,3.68,8.51,14.44,19.16,26.45,29.27,32.78,34.1,33.88,34.09,34.5,34.83,35.9,36.41,37.68,38.54,40.26,40.98,41.07,41.56,
Israel,ISR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,3.76,10.08,15.32,18.83,21.27,22.32,23.99,23.96,23.98,25.1,25.44,25.9,27.13,27.24,27.85,28.41,29.05,29.12,30.06,
Italy,ITA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.69,1.49,3.91,8.15,11.71,14.51,17.23,19.14,20.45,22.08,22.69,22.99,23.29,23.81,24.6,25.66,27.34,28.3,28.85,29.98,
Jamaica,JAM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.33,0.33,0.99,1.64,2.48,3.35,3.5,4.01,4.15,4.19,4.33,4.93,5.27,7.92,9.84,8.19,9.7,10.78,13.02,
Jordan,JOR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.06,0.09,0.19,0.41,0.81,1.42,2.22,3.45,4.04,3.87,3.71,3.85,3.94,3.34,3.11,3.39,4.01,4.53,6.18,
Japan,JPN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.17,0.67,3,7.35,11.65,15.25,18.16,20.59,22.03,23.43,25.56,26.53,27.78,28.14,28.77,29.48,30.37,31.16,31.79,32.62,33.5,34.79,
Kazakhstan,KAZ,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.02,0.2,1.72,2.13,3.6,5.35,7.24,9.77,11.5,12.41,13.09,13.18,14.25,13.44,13.54,13.96,
Kenya,KEN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.05,0.05,0.01,0.04,0.02,0.13,0.12,0.16,0.22,0.28,0.27,0.57,0.72,0.93,1.25,
Kyrgyz Republic,KGZ,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.04,0.05,0.05,0.06,0.36,0.33,0.43,0.71,0.97,2.38,2.92,3.55,3.97,4.17,3.98,4.19,4.43,
Cambodia,KHM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.01,0.01,0.02,0.06,0.12,0.21,0.25,0.15,0.2,0.22,0.43,0.54,0.62,0.83,1.02,1.12,1.4,
Kiribati,KIR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.43,0.52,0.69,0.76,0.82,0.81,0.75,0.65,0.46,0.11,0.1,0.1,0.08,0.09,0.15,
St. Kitts and Nevis,KNA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,4.37,9.5,13.87,18.59,20.09,23.04,26.75,29.79,25.48,26.06,26.43,27.61,31.98,27.46,56.24,31.24,38.58,56.39,
South Korea,KOR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.59,8.17,16.39,21.68,23.16,24.58,25.03,28.73,30,31.46,33.13,34.7,35.87,36.46,37.22,37.94,39.4,40.32,41.48,41.6,42.76,43.55,
Kuwait,KWT,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.49,0.6,0.91,1.1,1.26,1.4,1.51,1.6,1.54,1.48,1.4,1.33,1.3,1.43,2.56,2.9,2.51,2.01,1.73,
Latin America & Caribbean (excluding high income),LAC,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.13,0.29,0.42,1.16,1.49,2.29,3.47,4.82,5.77,6.56,7.96,8.41,9.11,9.81,10.57,11.18,11.92,13.06,13.38,14.77,
Laos,LAO,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.01,0.01,0.02,0.05,0.07,0.09,0.1,0.12,0.14,0.24,0.22,0.36,0.39,0.64,1.06,1.76,
Lebanon,LBN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1.05,2.1,4.09,6.68,7.73,8.6,8.12,18.08,,,,,6.13,6.33,
Liberia,LBR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.01,0.12,0.14,0.16,0.17,0.19,,0.22,0.26,
Libya,LBY,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,1.03,1.17,1.12,1.07,1.02,0.99,0.95,2.6,4.83,,4.69,4.83,
St. Lucia,LCA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,2.35,4.28,4.34,6.61,9.13,10.79,11.77,12.16,13.91,13.92,15.82,15.87,16.55,17.59,17.74,8.64,17.97,
Latin America & Caribbean,LCN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.14,0.32,0.5,1.21,1.59,2.43,3.62,4.97,5.96,6.75,8.1,8.59,9.29,10,10.78,11.38,12.09,13.17,13.49,14.83,
Least developed countries: UN classification,LDC,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.04,0.09,0.11,0.16,0.21,0.35,0.59,0.77,0.93,1.07,1.39,1.21,1.5,
Low income,LIC,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.03,0.05,0.06,0.11,0.15,0.21,0.31,0.36,0.4,0.4,,0.42,0.47,
Liechtenstein,LIE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,4.39,13.76,24.82,28.6,40.32,43.84,44.74,42.37,37.46,39.37,40.66,41.94,41.89,42.32,43,44.08,45.17,47.34,
Sri Lanka,LKA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.02,0.11,0.11,0.12,0.32,0.51,0.84,1.13,1.76,1.72,2.05,2.73,2.99,4.24,5.78,7.27,7.81,8.32,
Lower middle income,LMC,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.04,0.11,0.21,0.32,0.52,0.77,0.99,1.28,1.44,1.59,1.82,2.05,2.39,2.61,2.92,3.19,3.68,
Low & middle income,LMY,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.35,0.77,1.07,1.52,1.99,2.63,3.34,4.01,5.02,5.44,5.82,6.21,7.62,8.57,10,10.75,11.16,12.12,
Lesotho,LSO,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.01,0.01,0.02,0.02,0.07,0.08,0.11,0.07,0.1,0.11,0.23,0.27,0.22,0.24,
Late-demographic dividend,LTE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.05,0.23,0.67,1.52,2.24,3.26,4.48,5.76,7.2,8.64,10.47,11.67,12.63,13.43,17.11,19.29,22.89,23.73,25.69,27.57,
Lithuania,LTU,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.58,1.96,3.82,7,11.16,17.15,18.37,20.01,21.75,23.6,25.25,27.79,26.99,28.42,29.68,28.07,28.16,28.64,29.27,
Luxembourg,LUX,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,1.31,3.43,8.08,15.31,21.25,27.1,29.5,31.44,33.15,32.69,31.97,32.53,33.69,34.46,35.06,36.26,37.12,37.37,37.57,
Latvia,LVA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.14,0.43,0.85,2.16,2.7,4.93,15.4,18.98,21.2,20.52,21.85,23.01,24.25,24.98,25.2,26.3,26.97,27.28,26.69,26.01,
"Macao SAR, China",MAC,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,2.24,3.78,6.04,9.59,14.09,18.68,21.9,23.59,23.96,24.54,24.99,25.64,26.29,27.36,28.23,29.04,29.88,30.56,31.23,32.03,
St. Martin (French part),MAF,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.21,0.82,1.27,1.53,1.56,1.5,1.56,1.82,2.07,2.5,2.91,3.31,3.57,3.88,4.31,4.8,5.7,
Monaco,MCO,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,8.19,14.95,19.71,22.7,28.07,32.17,35.63,37.28,38.04,38.75,44.19,44.59,45.79,47.69,48.66,48.89,50.16,50.89,52.55,53.2,
Moldova,MDA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.06,0.25,0.53,1.28,2.8,4.58,6.63,8.74,10.27,11.52,12.5,13.13,13.71,14.39,15.38,16.58,17.82,
Madagascar,MDG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.02,0.02,0.03,0.03,0.14,0.17,0.11,0.1,0.11,0.1,0.1,0.11,0.12,
Maldives,MDV,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.17,0.23,1.02,1.92,3.1,4.47,4.35,4.25,4.64,4.55,4.9,4.56,5.09,6.16,7.36,9.19,10.01,11.78,
Middle East & North Africa,MEA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.33,,0.88,0.89,1.29,1.71,2.16,2.61,3.49,4.36,4.64,5.43,7.01,7.67,9.03,9.76,9.71,11.02,
Mexico,MEX,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.05,0.23,0.42,1.01,1.81,2.81,4.13,6.8,8.57,9.28,10,11.15,10.73,10.83,12.11,12.91,13.62,14.55,15.17,17.01,
Marshall Is.,MHL,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,2.4,1.74,1.73,1.72,,1.7,1.69,
Middle income,MIC,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.13,0.35,0.82,1.13,1.63,2.13,2.82,3.57,4.38,5.41,5.9,6.38,6.79,8.37,9.43,10.95,11.5,12.33,13.38,
North Macedonia,MKD,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.77,4.87,8.76,11.25,12.5,13.59,15.05,16.3,17.04,17.53,18.34,19.03,20.55,21.81,22.83,
Mali,MLI,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.04,0.06,0.05,0.05,0.03,0.02,,0.02,0.12,0.08,0.63,0.73,1.2,
Malta,MLT,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,2.31,4.43,5.67,9.34,12.7,13.03,20.59,23.98,27.62,30.39,30.81,32.18,33.56,35.23,37.64,39.27,41.4,43.67,45.99,48.33,
Myanmar,MMR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.01,0.01,0.02,0.05,0.05,0.04,,,,0.06,0.17,0.21,0.24,0.9,1.27,
Middle East & North Africa (excluding high income),MNA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.34,0.57,0.82,1.16,1.58,2.36,3.17,3.83,4.64,5.04,5.78,7.12,7.86,7.89,9.11,
Montenegro,MNE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,2.88,6.4,9.52,10.36,10.35,14.02,15.28,16.57,17.93,18.31,21.9,25.33,28.47,29.32,
Mongolia,MNG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.02,0.04,0.07,0.14,0.29,1.24,1.5,2.82,3.39,3.9,4.85,6.71,6.94,7.4,9.16,9.66,9.84,9.37,
N. Mariana Is.,MNP,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.05,0.06,0.07,0.12,0.12,0.11,0.14,0.16,0.17,0.22,0.24,0.23,0.22,
Mauritania,MRT,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.12,0.18,0.2,0.17,0.17,0.18,0.2,0.2,0.24,0.27,0.3,0.3,0.24,0.4,
