Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Burkina Faso,BFA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.01,0.05,0.07,0.08,0.09,0.09,0.09,0.08,0.03,0.05,0.07,0.06,0.07,0.06,0.07,
Bangladesh,BGD,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.22,0.28,0.31,0.4,1,2,3.13,4.17,4.57,4.99,4.96,6.1,
Bulgaria,BGR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,2.15,5.04,8.3,11.21,13.35,15.15,17.03,18.16,19.5,20.44,22.42,23.74,25.3,27,28.78,30.44,
Bahrain,BHR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.68,1.25,1.8,2.41,4.03,6.59,8.4,11.77,12.48,22.81,22.72,22.82,21.52,18.45,16.3,13,8.05,8.59,8.75,
Bahamas,BHS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,2.45,3.49,4.01,4.12,5.01,6.08,7.42,9.04,6.96,4.31,21.43,19.74,20.82,21.65,22.52,22.75,21.06,21.13,21.11,
Bosnia and Herz.,BIH,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.01,0.04,0.18,0.36,1.06,2.25,5.02,7.82,10.55,11.75,13.02,14.57,15.58,18.52,19.56,20.9,21.55,22.6,23.48,
Belarus,BLR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.01,0.02,0.12,1.79,5.06,11.58,17.69,22.28,26.89,29.56,28.46,30.76,32.48,33.47,33.87,34.01,34.45,
Belize,BLZ,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,1.02,1.77,2.49,2.5,2.62,2.65,2.76,2.94,2.95,2.86,2.8,4.82,4.99,5.06,6.44,7.58,9.05,
Bermuda,BMU,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,35.69,43.55,51.5,60.91,61.33,,,62.28,54.24,47.1,35.98,36.18,,36.8,36.93,
Bolivia,BOL,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.06,0.1,0.14,0.19,0.36,0.82,0.97,0.95,0.72,1.12,1.46,1.61,1.66,2.61,3.39,4.44,6.49,7.98,
