Czech Republic,,,,,,,,,,,99.88014221,99.88188171,99.86737823,99.86653137,99.87433624,99.86450195,99.87139893,99.84896851,99.8542099,99.84998322,99.83921051,99.87837982,,99.86148071,,
Germany,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,89.43647003,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,100,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,55.19260025,,,62.85334015,64.09265137,64.59922791,65.22193146,66.50807953,66.80484772,71.22396088,,,,,
Algeria,,,,,,,,,,,64.39965057,,64.37153625,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,74.41291046,74.90261841,74.4927597,75.12957001,76.71141052,77.3181076,79.06049347,81.05610657,82.59523773,82.73645782,82.83783722,,,83.35935974,
"Egypt, Arab Rep.",,,,,,,,,,,49.40781021,,,,,,,,,,,,,,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,86.6287384,85.94745636,86.58106232,86.95585632,87.40164948,87.53907013,88.21069336,88.52355194,89.12309265,,90.14871979,90.4641037,91.12010193,,91.91671753,,93.21681213,
Estonia,,,,,99.27870941,,,,,,,,,,,,,,,,,,,,99.77649689,
Ethiopia,,,,,,,,,,,,25.41249084,,,,24.63092041,,,,,,,,,,
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,73.27352142,,,,,,,,,,82.79477692,,,,,,,,,,,,,,
France,,,,,,,,,98.34358215,98.60758972,,99.16474152,99.27944946,98.86556244,98.43573761,98.44557953,98.4509201,97.8960495,97.5446167,97.52242279,97.62647247,97.56846619,,97.67228699,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,99.76856232,99.80786896,99.8556366,99.80831909,99.83229065,99.85984802,,,100,,,100,
Georgia,,,,,,,98.26799011,,,,,,,,,,98.1364212,,98.7651825,,99.30613708,99.30671692,,99.18689728,,
Ghana,,,,,,,,,,,,,,,64.66983795,,,,,,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,16.36639977,,,,18.58679962,,,
"Gambia, The",,,,,,,,,,,,,,,,,,,,38.61307907,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,92.02913666,95.5548172,93.11766815,93.28713989,,93.38140106,,,,94.68891907,95.26078033,91.47550964,,,,96.46852112,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,100,100,,
Guatemala,,,,,,,31.27362061,,,,29.77059937,,,,,,43.36518097,44.54582977,,,,,,50.80500031,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,67.49936676,,,,,,,,,,,,,,,,,,,
High income,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",,,,,,,,,,,93.07929993,,93.59754944,93.84372711,93.7161026,94.13188171,,,95.02565002,95.37944031,,95.66069794,,95.71556091,,
Honduras,,,,,,,,,,,,45.6967392,,,,52.83391953,53.12702179,,58.52513123,59.36154175,61.28907013,,59.54867172,67.82389832,,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,91.51033783,,,,,,,,,,96.97402191,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,98.45747375,,,,98.97808075,,,,,,,,99.64556122,99.51737976,99.55059814,99.56667328,,,,99.67246246,
IBRD only,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA total,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,80.19657898,71.69862366,71.87893677,72.85478973,,74.43771362,,,76.60041809,77.63034821,80.23827362,,78.42787933,,81.93370056,
IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,51.42446136,,,,,,,,,,
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,79.39376068,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,95.04686737,,92.78795624,94.64833832,,94.61038208,94.59194946,95.08704376,95.35587311,95.33004761,95.57485199,95.6309967,,,,,,
Italy,,,,,,92.05680847,,,,92.2394104,92.55967712,92.71868134,93.10191345,93.41809082,93.69986725,93.97998047,94.38954926,,95.00382996,95.26946259,,,,,96.72743988,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,84.45034027,,85.14888,,,,,,,,89.67095947,,89.23657227,
Japan,,,,,,,,,,,,,,,99.52111053,,,,,,,,,,,
Kazakhstan,,,,90.76849365,,,,,,,,99.98262024,,99.94776154,,,,,,,,,99.94062042,,,
Kenya,,,,,,,,,,,,,,57.17210007,50.9865303,,,,,,,,,,,
Kyrgyz Republic,,,,96.51808929,,,,,,,,,,97.97210693,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,34.23194885,36.86169815,35.63274002,,,,,22.8669796,22.51052094,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",89.35809326,,,,91.65914917,,,,,93.06964111,,,,90.98400879,94.30452728,,,,,95.50628662,,,,,,
Kuwait,,,,,,,,,,51.02906036,51.88090134,52.96194077,55.52791977,,,,64.48291016,57.74998093,,62.15684891,,61.99866867,61.79582977,,,
Latin America & Caribbean (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,
Lao PDR,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,78.44017029,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,
