IsoCode,Economy,basket_combined_simplified,basket_current,Unit,ITURegion,LDC,LLDC,SIDS,Income_2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CHN,China,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Asia & Pacific,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.91,17.05,15.23,15.62
CHN,China,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Asia & Pacific,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.36,9.82,9.08,10.22
CIV,Côte d'Ivoire,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Africa,NA,NA,NA,Lower middle income,46.6,42.54,37.29,39.43,35.08,32.15,31.04,28.82,26.42,25.43,25.48,25.48,17.56,15.69
CIV,Côte d'Ivoire,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Africa,NA,NA,NA,Lower middle income,87.52,86.33,86.3,84.86,85.49,76.11,79.31,88.11,78.43,80.8,83.61,83.61,80.79,71.45
CIV,Côte d'Ivoire,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Africa,NA,NA,NA,Lower middle income,44.66,44.32,40.09,40.09,39.18,36.43,37.5,34.83,31.26,32.64,34.19,34.19,32.84,31.25
CIV,Côte d'Ivoire,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,26.79,25.11,20.99,22.02,20.68,5.36,5.36,4.62,2.58
CIV,Côte d'Ivoire,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,63.43,64.16,64.16,65.36,65.7,17.6,17.6,21.26,11.77
CIV,Côte d'Ivoire,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,30.36,30.34,25.36,26.05,26.54,7.2,7.2,8.64,5.15
CIV,Côte d'Ivoire,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Africa,NA,NA,NA,Lower middle income,26.3,20.4,14.99,18.72,16.66,14.32,14,11.7,11.9,11.21,10.93,10.93,3.88,3.88
CIV,Côte d'Ivoire,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Africa,NA,NA,NA,Lower middle income,49.39,43.32,34.7,40.29,40.59,33.91,35.8,35.8,35.4,35.6,35.86,35.86,17.86,17.65
CIV,Côte d'Ivoire,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Africa,NA,NA,NA,Lower middle income,25.2,21.25,16.23,16.12,19.03,16.23,16.9,14.2,14.1,14.38,14.67,14.67,7.26,7.72
CIV,Côte d'Ivoire,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.51,7.51,7.77,5.81
CIV,Côte d'Ivoire,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.64,24.64,35.72,26.48
CIV,Côte d'Ivoire,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.08,10.08,14.52,11.58
CIV,Côte d'Ivoire,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.51,7.51,8.32,6.92
CIV,Côte d'Ivoire,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.64,24.64,38.27,31.52
