Cyprus,,,,,,,,,67.38012695,69.18824005,71.68489838,73.36694336,73.99150085,74.5087204,75.84166718,77.22283173,78.70480347,79.697052,78.95928192,78.63918304,80.31295776,,81.77323151,,82.91652679
Czech Republic,,,,,,,,,,,99.77912903,99.78832245,99.79286194,99.78910065,99.82282257,99.81562042,99.81665802,99.7996521,99.81548309,99.80766296,99.80445862,99.82791901,,99.80963135,
Germany,,,,,,,,,97.75401306,96.90086365,96.93343353,97.08521271,96.7395401,96.7073288,96.52384186,96.71362305,96.73085785,96.67179108,96.79914856,96.71611786,96.51364136,,96.3322525,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,26.58358002,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,99.73188019,,,,99.40059662,,96.90646362,96.38414764,96.88221741,99.64360046,99.58493805,91.48561096,92.06758118,92.4495697,,93.80911255,,95.15270233
Dominican Republic,,,,,,,,,,,,42.53044891,,,52.63024902,53.84415054,54.37845993,55.23904037,56.3503685,56.61132813,67.16703796,,,,
Algeria,,,,,,,,,,,46.59090042,,47.30498886,,,,,,,,,,,,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,43.07814026,43.04875946,43.03673935,44.68481827,45.34046936,46.82740021,47.94152069,48.77730179,52.18167114,51.86396027,52.85947037,,,52.54101181
"Egypt, Arab Rep.",,47.71250916,,,,,,,,,44.43072891,,,,,,,,,,,72.95913696,,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,59.26173019,62.52478027,63.84901047,64.73632813,65.61898804,66.45838165,67.38954926,68.79650879,69.87301636,,73.71434784,74.81494904,75.7975235,,77.7223587,,80.76943207
Estonia,,,,,89.35765076,,,,,,,,,,,,,,,,,,,,97.82346344
Ethiopia,,,,,,,,,,,,7.215089798,,,,12.51169014,,,,,,,,,
European Union,,,,,,,,,,,,,,,,,,,,,,,,,
